80000,10.17081953642384,0.0
160000,10.393543046357617,0.0
240000,10.599503311258276,0.0
320000,11.074130794701986,0.0
400000,12.406788079470198,0.025
480000,12.145198675496687,0.05
560000,14.598509933774832,0.225
640000,15.931705298013242,0.325
720000,15.616556291390728,0.275
800000,17.40637417218543,0.55
880000,18.216556291390724,0.65
960000,18.08694072040058,0.6341463414634146
1040000,18.77293046357616,0.8
1120000,18.31771523178808,0.7
1200000,18.756249999999998,0.75
1280000,19.198923841059603,0.85
1360000,18.61879139072847,0.675
