80000,8.302877697841726,0.0
160000,8.739568345323741,0.0
240000,9.344604316546764,0.025
320000,10.620863309352519,0.05
400000,11.63453237410072,0.05
480000,12.156115107913669,0.125
560000,11.794244604316548,0.1
640000,13.265467625899282,0.25
720000,13.407194244604316,0.2
800000,13.653237410071943,0.275
880000,13.98129496402878,0.3
960000,14.79640287769784,0.375
1040000,14.702877697841728,0.375
1120000,14.306474820143887,0.325
1200000,14.59208633093525,0.35
1280000,14.075539568345324,0.3
1360000,14.061870503597124,0.3
1440000,13.237410071942445,0.2
1520000,14.061870503597124,0.3
1600000,15.619424460431656,0.45
1680000,14.223741007194246,0.3
1760000,13.837410071942449,0.3
1840000,16.232374100719426,0.55
1920000,14.99568345323741,0.4
