80000,10.53021582733813,0.075
160000,10.187050359712233,0.0
240000,10.374100719424462,0.0
320000,10.324460431654677,0.0
400000,11.110071942446044,0.075
480000,11.321582733812951,0.075
560000,10.58129496402878,0.0
640000,10.400000000000002,0.025
720000,11.736690647482016,0.075
800000,12.054676258992808,0.2
880000,11.1431654676259,0.1
960000,11.732374100719426,0.125
1040000,10.775539568345327,0.05
1120000,11.428776978417266,0.05
1200000,11.648201438848922,0.1
1280000,10.72086330935252,0.05
1360000,10.834532374100721,0.05
1440000,11.027338129496403,0.075
1520000,11.66169503421653,0.12195121951219512
1600000,11.835971223021584,0.125
1680000,11.066187050359714,0.05
1760000,11.619424460431656,0.075
1840000,12.362589928057556,0.2
1920000,12.384892086330934,0.175
2000000,12.164748201438849,0.15
2080000,12.241726618705037,0.175
2160000,11.968345323741008,0.075
2240000,11.027338129496403,0.0
2320000,13.631654676258995,0.275
2400000,13.148920863309353,0.25
2480000,11.37338129496403,0.05
2560000,13.166187050359714,0.25
2640000,11.040287769784175,0.025
2720000,13.3863309352518,0.25
2800000,12.784892086330936,0.2
2880000,13.058273381294963,0.2
2960000,12.885611510791367,0.225
3040000,13.892086330935253,0.3
3120000,13.260431654676262,0.25
3200000,13.582031935427267,0.24390243902439024
3280000,13.710071942446044,0.3
3360000,14.023512896999474,0.3170731707317073
3440000,13.153237410071943,0.225
3520000,14.368345323741007,0.35
3600000,14.77338129496403,0.375
3680000,15.112230215827338,0.4
3760000,14.807194244604318,0.4
3840000,15.637410071942446,0.5
